"TCGA-E9-A1N6" "TCGA-E9-A1N8" "TCGA-E9-A1N9" "TCGA-E9-A1NA" "TCGA-E9-A1ND" "TCGA-E9-A1NE" "TCGA-E9-A1NF" "TCGA-E9-A1NG" "TCGA-E9-A1NH" "TCGA-E9-A1NI" "TCGA-E9-A1QZ" "TCGA-E9-A1R0" "TCGA-E9-A1R2" "TCGA-E9-A1R3" "TCGA-E9-A1R4" "TCGA-E9-A1R5" "TCGA-E9-A1R6" "TCGA-E9-A1R7" "TCGA-E9-A1RB" "TCGA-E9-A1RC"
"5442" 1547 2446 3694 3688 2237 2918 2622 1786 3511 3964 1337 3712 3540 1847 6354 4394 4457 4482 1686 1607
"100101267" 2495 6531 10882 6201 9749 5954 3588 4518 4939 3383 5549 4175 8713 3211 5296 6870 4939 9001 6521 6241
"646074" 136 151 290 194 349 266 286 143 254 188 269 295 516 179 816 461 223 715 189 767
"25812" 11 51 44 27 48 42 26 19 42 30 39 41 31 16 48 29 23 38 39 30
"266697" 1 0 1 2 15 5 3 0 4 0 3 2 7 5 149 4 2 4 4 8
"29797" 24 23 62 35 65 54 49 25 36 39 49 57 77 36 128 119 60 95 53 80
"29774" 30 27 56 38 256 73 26 29 45 23 51 70 217 48 100 72 15 35 41 17
"9883" 3470 9245 44097 8372 9456 7717 5797 4992 6759 5078 6819 5304 11933 6616 7680 9097 6504 11206 9433 8341
"5443" 18 19 13 24 65 60 29 49 9 22 11 25 10 8 63 15 6 6 6 6
"55624" 3870 4171 5652 9931 5981 6846 4973 5013 6818 6526 7187 8012 13085 6695 9631 6446 9290 10648 6712 5111
"51371" 5011 2221 6279 6665 10432 10319 9950 9160 6828 9485 9831 5925 9596 12748 6867 10842 4876 12852 8679 7945
"10585" 1994 1805 5111 1657 2650 2358 1406 2018 2583 2045 1816 2214 5264 1740 6852 2780 2123 2090 2526 2271
"29954" 876 1678 3013 3094 3644 1547 2269 2146 2714 2338 1573 3345 1866 1795 2701 5440 1611 1235 2069 2096
"22932" 286 686 707 2721 1050 552 1311 1127 1720 568 972 833 821 518 788 780 569 540 1461 849
"5444" 0 20 23 2 6 4 54 2 58 3 17 4 5 213 2 13 0 20 14 2
"5445" 4194 2102 7591 6694 9730 7092 5452 6439 11680 4802 7155 6527 12664 6848 2939 7909 3628 10374 9857 6631
"5446" 104 209 271 63 267 86 538 126 30 217 751 54 104 1610 30 1000 8 1785 539 48
"10940" 988 790 1467 1069 1034 1176 977 506 627 756 895 826 1098 619 1023 928 741 1904 5879 1241
"10775" 1611 1868 2953 4517 3025 2944 1274 2323 2803 2845 2691 2390 1668 2449 3003 4458 2876 2476 2954 2936
"51367" 553 1478 662 1159 1523 1134 993 1119 1334 1619 1067 1268 2456 1894 1220 1702 1404 1538 2032 1779
"10248" 1142 2054 1918 2643 4052 1501 2108 1094 2128 2904 1485 2446 2403 778 1432 2390 2616 1969 2822 2265
"64091" 131 64 371 104 121 590 785 717 557 258 473 306 259 151 293 208 282 221 183 129
"64208" 15 42 5 11 52 7 13 56 10 20 27 29 50 24 6 25 12 4 48 21
"64840" 298 461 519 753 945 415 658 957 1190 1218 592 738 1200 1080 1250 1215 1074 715 1166 1147
"5447" 6163 4273 6400 5370 28079 6175 4179 4108 5821 6288 4623 4720 8599 2132 5860 5031 4742 5948 5029 4411
"10631" 210941 12005 143757 210739 38717 204485 382033 420600 320015 188273 71033 101779 171750 384265 91313 406334 47510 166555 107581 260751
"25913" 1350 3309 3653 2168 1967 3271 1754 2944 2822 3631 4509 4617 2836 2157 2007 5742 2602 4237 6784 2979
"100996331" 5 0 15 1 0 27 6 0 31 24 32 27 33 26 64 35 34 53 4 26
"388468" 6 0 101 3 0 90 8 0 81 55 66 20 83 138 170 10 120 87 0 105
"317754" 2 0 10 3 0 19 2 2 26 17 4 3 24 26 42 2 9 31 7 4
"445582" 560 114 1008 285 457 918 513 407 1589 798 967 721 1067 491 2609 620 1054 1915 285 1270
"728378" 140 32 679 57 51 547 84 55 675 320 433 325 434 124 1528 253 408 1074 82 715
"404785" 20 2 168 9 3 153 10 9 163 112 181 114 130 23 340 3 216 281 27 143
"23784" 48 8 316 27 4 309 21 9 345 277 341 168 334 33 673 3 385 527 39 373
"5450" 87 398 522 266 1319 1711 140 158 391 103 1869 891 468 326 574 224 156 366 221 196
"5451" 326 507 521 470 459 726 703 360 768 451 842 561 528 438 720 745 301 1026 792 925
"5452" 194 101 268 206 1203 913 399 692 434 176 861 456 319 710 811 159 199 129 188 142
"25833" 201 496 394 1050 1221 507 385 356 298 416 320 780 267 2444 1617 836 571 900 853 972
"5453" 18 24 263 51 37 127 12 8 30 69 44 42 27 38 54 24 57 6 312 10
"5454" 14 11519 6 239 5 3 13 40 8 11 5 8 3 2 5 9 3 8 9 19
"5455" 0 3 12 0 0 0 0 0 4 0 6 16 2 4 2 0 2 0 0 0
"5457" 0 52 18 0 363 12 0 0 2 0 8 0 0 1 0 0 0 14 0 520
"5459" 0 6 4 12 19 5 6 3 11 2 3 2 4 5 12 7 3 10 0 10
"5462" 16 27 51 9 22 24 140 14 15 75 17 15 100 9 73 6 42 10 15 15
"5460" 13 39 13 9 72 23 17 23 22 11 24 14 45 13 34 27 10 30 26 37
"5463" 295 639 962 627 359 840 649 787 873 360 985 875 1047 628 665 538 660 349 579 382
"11281" 53 60 438 43 35 65 54 32 86 34 25 49 61 71 81 74 50 190 38 142
"100130449" 223 10 29 40 165 117 114 185 415 394 33 41 711 346 2338 12 169 1710 8 571
"5464" 16045 9197 17819 13610 26393 15734 11759 14304 13372 13941 14044 11509 12699 11071 15728 32183 10804 9432 37611 10676
"27068" 4288 2083 7289 5767 5482 5706 3686 8824 2717 5602 5994 6530 5907 6026 3860 12490 4032 8957 8448 8167
"56342" 536 2593 5407 2069 1464 718 1146 465 829 1015 363 489 1623 356 1123 1137 1304 975 1363 392
"8611" 1139 661 3738 3149 3233 4615 3821 3002 4288 2060 5553 3913 4184 1731 2981 3403 1261 5802 1957 1580
"8613" 3875 3093 5588 7372 4592 8387 10462 6098 6101 3228 8011 8149 6637 4123 3119 4417 2310 6842 8644 1877
"8612" 2541 5175 5602 11987 3642 4440 4857 1753 10892 7865 3274 2626 4472 5490 8144 7290 10107 15053 5557 5730
"196051" 1476 95 465 1394 333 260 2681 2721 2277 1273 77 562 870 2671 510 2216 509 185 809 832
"84513" 2477 1987 1564 2315 1977 2814 2443 2279 4022 1933 2467 3361 31169 5995 4040 1340 5323 4651 13154 6666
"403313" 938 859 1771 899 1923 1118 1255 2169 2806 1413 2168 2152 1289 2953 2285 4643 1358 1575 1168 2707
"84814" 161 37 142 262 141 145 459 475 210 205 174 269 99 157 174 312 80 64 86 165
"5465" 587 1871 1662 1237 2680 2095 1055 1237 1278 847 1756 1242 1567 1577 1831 2265 675 1427 1835 2623
"5467" 2930 3158 5639 1556 12102 3596 2461 4486 3407 3108 2819 2691 4991 3293 4449 2333 2364 3490 1881 2289
"10891" 16 5 121 11 6 123 88 163 102 34 203 134 71 73 36 78 793 89 24 44
"133522" 60 123 113 127 129 149 104 76 111 58 81 149 146 48 307 114 63 121 148 82
"5468" 380 136 410 1040 1112 1116 458 357 423 344 3215 3815 1594 202 544 501 213 399 804 331
"5471" 1151 1796 5115 3817 1621 3375 1146 1679 1571 1699 2052 2379 3485 1336 3004 6261 3711 3119 7244 3792
"5473" 2 0 0 4 126 0 0 2 2 0 0 4 0 2 0 0 0 2 0 0
"60490" 277 378 412 717 462 567 764 509 866 862 711 1720 965 790 641 1591 817 1083 671 546
"79717" 3833 3152 8667 3549 5409 5365 4346 6346 6119 6758 6103 6562 5662 5800 3985 6841 6444 25885 7563 4610
"79144" 15506 10523 22037 12152 24662 13803 20345 11447 20574 51786 9129 24145 33030 11522 20272 17010 29224 9836 9041 18793
"5475" 318 52 2771 300 92 173 888 1856 889 664 152 235 281 390 136 752 174 492 347 303
"5470" 48 78 78 53 82 98 80 75 104 85 99 101 121 84 142 127 85 156 126 140
"8500" 4534 7119 47925 12591 7385 12035 5013 7095 5832 6085 26713 5635 9662 7858 9251 12221 7434 14076 9366 9206
"8499" 100 17 68 124 47 57 206 329 112 111 62 84 41 128 65 124 49 190 174 79
"8541" 589 322 2522 409 1367 457 585 574 528 882 312 540 1022 238 1690 1468 854 768 465 507
"8497" 42 366 55 203 535 221 377 201 217 807 220 480 459 732 179 343 224 558 665 3092
"8496" 6226 4949 10399 6673 4635 9058 10817 19501 9472 5825 3518 5192 6201 13498 6547 12255 5637 9294 7249 8379
"8495" 1622 3843 4344 1799 2593 2334 1938 5747 8834 2804 1859 3088 1113 2488 4090 6252 1470 6969 1378 1248
"51535" 2890 2942 4816 3624 2230 4741 4367 4745 4831 4444 5528 4140 4651 5449 5197 7262 3408 6011 7068 5568
"653505" 67 28 79 76 107 78 93 70 51 62 85 39 79 81 58 71 80 169 128 77
"653598" 185 146 273 268 309 256 214 159 162 180 167 133 212 236 265 348 192 442 339 163
"645142" 52 46 81 62 80 71 74 67 63 61 89 43 83 80 85 74 55 149 112 54
"730262" 36 26 54 32 49 33 38 31 36 24 47 14 37 43 33 55 31 60 53 41
"644591" 237 127 252 189 362 240 295 164 209 210 278 133 282 296 293 301 248 443 454 166
"5478" 72710 53924 118506 100675 119345 81595 95178 69878 73573 119520 95875 80867 93109 101352 111516 114865 84552 164806 153178 87821
"5479" 24080 21351 21209 30095 44780 32077 55243 29588 33863 34634 18525 21397 27335 29993 20753 30766 16264 18275 42850 25595
"5480" 5060 1494 4556 4015 6677 2776 9126 8262 8314 5245 2623 6179 2668 7094 5299 7976 2790 6959 3038 3838
"5481" 2352 1775 4051 3673 3928 4899 2926 4531 3528 3790 3335 3541 4056 3950 3110 6635 5136 8773 3983 4853
"728448" 202 266 735 283 365 355 362 306 620 291 426 325 981 462 822 905 445 1222 462 556
"10450" 1973 4261 5127 1409 5249 2108 3288 2952 3848 3669 3256 3944 3545 3561 4077 3381 1859 15991 4505 2866
"10105" 22668 6476 10641 4242 8629 10495 11091 4343 3450 12234 5037 8783 5796 5170 18193 4604 5758 6186 15232 7971
"9360" 3935 5244 9559 4800 11525 9977 5103 7546 7512 4028 6142 5193 5784 10843 6903 9969 3217 14834 6986 7573
"10465" 1184 1936 3802 1023 2490 1580 1821 1659 1768 1947 1834 2327 1958 1468 1609 1456 1495 3870 4895 1270
"51645" 1474 2644 4798 2261 4317 3335 1635 3296 2297 3911 3636 2162 4684 2649 3840 3738 2552 4594 3326 2710
"23759" 4110 1618 3553 2560 4392 4472 5339 2990 5348 4621 4480 4172 5361 3577 6160 9918 3250 8670 3015 4523
"53938" 635 720 1080 2340 1088 2044 1834 1012 1525 1599 1417 1175 1749 1437 1440 1956 841 2670 1073 1498
"85313" 2366 1695 3103 2013 2555 3459 2873 4931 4771 3781 2606 2073 3102 4957 2613 4846 1874 11197 2571 4304
"285755" 181 553 1522 523 302 460 549 556 828 1024 549 447 685 409 584 560 459 1093 784 1246
"9677" 959 884 1401 1132 1647 2573 1498 1889 2674 2315 1006 4688 4553 2353 4283 7410 4447 7312 2938 1632
"23262" 3669 3614 7235 7532 2935 5574 3434 4789 6103 3780 3598 5366 4270 6709 6941 10873 4166 20067 3269 9412
"5493" 4054 4585 5242 2444 18095 3341 4701 13447 18914 7916 5476 7308 6296 14182 19192 14607 3695 15788 1646 15323
"5494" 3715 2841 9140 9172 5875 26781 6363 8645 8833 8048 11255 9856 5457 10019 18125 12614 4604 23088 5888 12034
"5495" 2540 3099 4712 3767 4607 7346 3169 4884 6106 3830 5409 5518 5543 5035 7917 7931 3813 10337 5903 7167
"8493" 941 1437 2363 8639 1327 4154 1047 1446 1312 1736 2024 1926 2032 3629 1756 2900 1385 2815 1461 2166
"22843" 35 2497 443 108 132 123 108 39 49 239 38 34 80 38 1183 157 1010 863 1186 334
"9647" 1398 1550 1745 2194 3406 2789 2096 2801 3912 1497 2211 3271 2662 1825 3924 3696 1790 2699 1332 1620
"5496" 8189 13735 8702 21721 15050 12718 8507 10528 11364 12451 10338 11789 17540 9168 14595 15036 11003 17029 16655 9983
"57460" 2866 2911 3918 5635 1010 3412 2823 4335 2416 8769 7361 2705 2195 7241 15810 10616 3722 12345 16289 16454
"333926" 664 117 212 1246 202 974 2803 222 1151 1328 1371 2299 1794 616 1906 721 1877 3213 763 1903
"152926" 1355 964 542 1496 1228 2380 835 1222 515 381 1208 427 457 395 3036 508 201 5013 695 226
"151742" 294 628 924 169 308 320 196 317 796 139 143 175 240 167 540 139 345 4358 495 144
"132160" 905 351 1174 1594 3046 2362 1781 2492 2560 1444 1978 2306 1442 2238 3147 2897 1902 823 1434 3256
"147699" 22 50 27 20 34 108 15 229 60 28 80 61 23 84 881 47 103 36 52 99
"51400" 5539 4919 5396 7184 6266 8029 5693 5815 6119 6109 3653 6113 6569 5977 8683 8935 7293 9233 9896 6752
"5498" 1782 741 980 1574 1182 903 1333 678 3055 2200 1291 1006 2103 924 2162 2571 1091 1603 1696 2042
"5499" 10958 8988 11899 20355 18541 13391 15534 10799 11969 16624 16976 11504 12998 9253 13944 12411 11527 12578 14148 8929
"5500" 17256 22292 25954 19297 43738 32685 15654 28400 23383 18377 25035 28907 27876 32904 24143 37979 15775 61859 34206 32255
"5501" 10416 11579 15502 13684 13945 23223 11545 14321 12174 14399 14347 14442 19205 14575 10757 15308 11005 32218 27876 14694
"5514" 7263 4897 6363 4394 6098 7642 4957 6084 6038 7302 6205 7479 7664 6464 7631 13440 6906 9393 6435 7242
"6992" 4427 4249 8419 3517 7377 6561 5935 7397 8777 9409 5296 7747 6671 9371 9036 8694 7775 9849 4950 7464
"4659" 4461 5677 6977 6293 4594 14818 6424 9126 6683 5429 6330 6526 6223 9369 7689 9597 4741 16268 8682 9128
"4660" 1130 1946 6042 2525 1886 6467 3801 3187 6892 2765 7015 3664 3657 3113 4579 6518 2414 6073 4724 5840
"54776" 2006 2307 6779 2244 5961 3148 2485 3672 4226 2600 1574 2749 4823 2063 5059 3764 4631 2003 1924 2056
"23368" 4176 1186 3634 1368 4298 2312 2567 1965 3724 3708 2082 3087 2971 1944 3308 3679 1821 2971 2329 5635
"10848" 2574 2881 2441 1826 4140 1980 3141 5775 4976 3192 1253 4204 3878 3015 3711 4290 3119 1706 2002 5026
"94274" 69 31 208 29 44 77 213 94 227 99 161 472 71 34 134 40 99 59 46 31
"26472" 6703 7271 10773 15826 9475 5270 9816 7391 10533 9923 3339 5209 9037 4309 9317 8267 4264 3265 13654 4890
"81706" 151 802 147 34 582 88 32 690 160 97 117 87 63 646 32 8 8 27 98 249
"54866" 3 18 10 8 53 32 20 3 49 26 20 22 11 34 35 9 162 7 9 26
"23645" 3007 4702 5386 3784 4261 4874 4167 5631 5391 4930 3127 4627 3570 4539 3931 3090 2588 1410 1654 3461
"84919" 5645 4696 10176 10930 5844 16487 5971 6761 11049 11406 10576 8003 13798 11537 10371 24186 5049 41498 14909 16094
"84988" 2613 1927 4009 2017 2453 2323 1700 931 1850 4180 803 2141 9686 909 7318 5151 4512 2448 3762 3535
"26051" 161 478 401 364 973 2876 134 598 748 204 2683 2151 795 328 2079 619 273 868 184 116
"5502" 79 2047 494 30 68 148 388 50 572 88 5821 5729 348 37 135 265 0 156 2015 376
"84152" 41 254 431 3 962 665 3705 1041 16370 2975 2859 1126 289 532 222 939 99 72 4116 9371
"151242" 9 1 31 43 9 10 129 130 446 3 2 2 13 84 14 15 2 2 7 5
"100507444" 126 145 238 115 191 267 192 184 229 174 314 169 269 239 249 284 183 319 331 366
"153743" 116 70 239 149 148 296 179 251 428 176 303 93 146 366 241 507 127 496 174 308
"5504" 4613 2924 7214 4846 5440 6732 6099 6608 13447 5411 10550 5235 5559 11430 7473 13590 4255 13519 5304 6744
"79660" 3056 2135 4765 6525 4147 8423 6901 9063 9825 3541 5195 16154 3017 6368 6315 4164 7156 9692 4179 5790
"5507" 501 402 718 2279 68 376 3551 1659 1767 2943 2122 3240 367 1316 4781 2006 937 6764 724 605
"5509" 1101 496 1956 1169 1392 4600 1158 1238 1364 1614 2288 2515 1863 2332 3086 3356 3153 10490 1841 1486
"90673" 108 170 192 314 410 325 250 192 475 412 585 509 284 357 1012 756 533 238 341 989
"89801" 160 230 534 656 333 595 450 326 392 262 338 299 630 687 1678 289 390 925 435 248
"648791" 24 103 26 80 190 33 182 204 77 80 52 82 14 42 52 94 44 22 22 134
"5510" 4071 2335 4061 2638 5388 3302 2762 5954 6565 5309 4530 5589 5230 6933 8745 9988 3766 9076 3673 6243
"5511" 3144 5846 4512 4248 3549 5580 3604 4588 4536 4465 4951 5057 5967 4981 5070 4359 3621 4677 7771 4181
"55607" 603 3748 1677 2296 1777 3628 562 1737 1760 1207 3804 2518 2633 1402 413 3659 1105 143 2387 5415
"84687" 3435 1359 5773 11111 11012 8594 5922 7469 7500 8236 6317 5322 13374 6205 12561 14427 7778 14264 6240 4082
"5515" 12685 5633 17353 13740 12043 17631 12951 17096 18251 20199 19490 17653 8960 23456 19538 36514 16955 24406 13704 35528
"5516" 3814 3494 3970 8871 5514 9244 5486 10861 6702 3613 6091 10597 6160 12577 8216 7611 8769 7918 14545 16924
"5518" 20770 17055 26841 25567 33498 19336 29374 30633 32472 19826 16447 29307 28536 18331 29887 24122 28788 17422 21257 24594
"5519" 4273 1867 4279 2380 4654 3440 2075 2418 3456 1870 6235 6146 2473 4650 3877 6903 2144 3337 5390 3606
"5520" 3138 2653 2970 4656 3967 7089 2908 7732 4960 3090 7435 8382 4338 9009 5527 5233 9647 5975 10216 12851
"5521" 16 18 120 19 263 329 49 281 83 17 177 62 114 44 52 27 36 26 56 28
"5522" 2928 83 6671 4727 867 3797 2696 59 576 4174 112 17 5972 196 10755 388 12313 5741 3371 4598
"55844" 2883 1998 4343 2736 2472 1863 3272 2755 3704 2980 2106 2532 1733 2812 2719 4145 2179 3268 3528 3158
"5523" 4070 2533 2417 1960 3410 3626 2904 4279 3520 1992 2716 2672 1840 4110 2986 1574 1463 3029 5147 3273
"28227" 296 1262 927 750 1108 379 624 249 395 1109 434 464 738 313 1441 329 1534 266 429 535
"55012" 1864 1233 1837 1368 1894 2229 1629 2591 1592 1461 1856 1387 1564 2033 1811 2014 792 1862 2321 1337
"5524" 14577 6587 10002 11583 13872 16180 17739 15184 27799 13791 11388 26504 20897 13563 35896 22491 14144 15568 43188 15498
"5525" 5512 1841 8312 11507 2846 11114 5277 7267 12169 10536 12807 11831 9032 7387 9747 17041 5760 55895 18035 23048
"5526" 1278 1034 2274 1296 1792 1382 1373 1594 1870 1608 1412 1015 2216 1406 2980 2423 1627 760 1800 1229
"5527" 4229 4021 15185 9554 13103 12281 10238 10726 10869 9675 9993 11311 6925 12396 8203 14576 6018 11789 8142 14370
"5528" 4576 5171 11301 3406 7208 4757 3858 4626 6376 5686 5791 6741 6147 4448 8082 6783 5890 7780 4166 4947
"5529" 2574 2508 4535 4547 4402 6702 3605 5862 5554 3759 3299 3958 2132 4925 4306 7357 2317 4401 5219 8242
"5530" 5686 4121 4976 11845 4013 8080 4282 11706 5146 5725 7406 9653 4879 7790 7505 16372 3956 9746 12834 3346
"5532" 5056 2540 8126 5142 3842 8653 4337 7463 8652 4833 6820 8737 7512 5539 11421 8152 5013 25635 8834 5115
"5533" 737 203 837 1518 1033 2255 1251 1760 1158 921 2299 661 602 2003 1399 1236 2191 1260 812 1827
"5534" 4642 6213 7063 7835 8413 12607 6881 9489 7229 6137 7561 8612 7049 8721 8663 9510 4531 12097 10749 9729
"5531" 6579 9886 6763 6276 7898 6444 13861 8454 14076 18407 6588 10163 9555 8800 24549 11670 14315 11580 15985 13558
"55370" 172 230 129 136 99 282 209 420 152 170 156 95 92 511 391 137 62 91 272 121
"9989" 6410 6368 10309 6231 7324 8114 17592 9248 9469 6695 6605 8490 6775 11022 10173 12197 8994 9576 10346 9956
"151987" 2010 1944 3680 2335 3725 4983 1600 3716 4138 2488 2406 3457 2342 4298 2882 6561 2190 6626 5670 7261
"57718" 64 95 14 112 41 30 201 26 734 168 269 224 10 563 890 6 1173 952 494 3332
"5536" 2855 4474 5016 2875 4726 3944 3335 4449 4710 4104 3004 3969 8182 3035 5655 6569 6491 3271 4705 4728
"5537" 6289 3563 5541 4664 7172 11797 6215 9078 9603 6017 12438 12715 8918 12296 10536 12504 5541 12976 18792 10093
"23082" 2707 7791 5855 5735 4350 3196 4034 4591 4484 3662 2943 3468 4357 2813 5201 7535 3808 7305 7195 4991
"5538" 6062 12017 18835 19427 23578 20662 14687 37855 25991 28996 21883 33432 21279 32124 53746 58196 29750 24810 28718 23833
"9374" 628 1182 2046 952 1426 1083 1403 1660 2294 1639 1760 2018 2794 1472 3886 2374 1846 1557 1299 1099
"160760" 1154 1834 1571 1707 1554 4140 1465 1885 1405 1470 1994 1645 2102 2783 1803 3835 1678 3975 3083 2673
"23398" 1084 1589 2055 1829 1622 2801 1400 1879 2046 2074 2167 2034 1960 2641 2736 3977 1383 3299 1824 3141
"10084" 2751 3119 4618 5740 5871 3026 3928 2573 4315 4804 2920 3474 3828 4838 5764 4449 4775 3620 3272 2149
"80148" 2439 3610 1201 2147 3052 2217 1957 2617 2464 2854 1429 2943 5861 1729 3723 2250 1797 2163 2474 2196
"54896" 604 870 948 1299 1571 1223 1040 1013 2512 1452 827 2910 2430 996 2402 1111 1241 629 1472 890
"130814" 2718 915 2262 4005 2580 9023 2092 5375 5302 4268 4721 3918 6269 11723 9243 3457 3792 4690 2812 4733
"11230" 1643 1568 2636 2532 3445 1666 3314 3600 3242 6014 2756 2381 6414 3349 3326 6909 3018 2351 3062 1809
"84106" 73 18 73 242 402 185 211 111 247 51 127 145 121 106 351 103 63 30 64 31
"23532" 473 4479 12470 98 0 47 4 0 2 1081 3890 30 12 2 60 44328 4 60 80 208
"118471" 10 13 7 8 9 6 17 8 14 13 17 12 16 18 18 29 8 12 10 22
"5544" 0 0 26 69 2 21 2 2 19 12 5 1 6 2 6 0 0 22 62 2
"9055" 4600 4701 6188 4714 2512 4573 3190 1859 2261 5831 4740 6509 4144 491 6914 4115 4504 8223 12132 7812
"5546" 5469 6036 7821 9376 9715 7622 4502 5363 9511 8921 8127 6259 11187 6065 7016 17023 5210 7319 12380 12159
"768206" 9 20 42 39 25 67 89 55 53 42 83 80 53 47 70 61 26 41 11 24
"5547" 4837 24620 13319 9050 8963 14401 10736 12723 13881 11455 18680 17363 10566 29306 18045 20384 11732 10670 13568 39719
"56980" 922 958 1788 1085 1186 1665 838 1063 1220 772 894 1435 1164 1250 1565 1836 1022 2077 1962 1596
"56981" 34 190 88 94 55 136 52 67 88 67 79 247 121 58 322 141 168 306 136 93
"59335" 2 9 6 26 6 4 15 4 16 14 0 17 27 6 22 24 17 2 21 1
"63978" 9 5 14 3 5 13 5 4 19 9 19 7 10 3 15 15 12 13 13 13
"63977" 718 1061 1795 1118 1019 1468 1200 659 874 701 623 822 2319 912 1368 1325 810 2241 1674 1040
"63976" 57 28 117 82 63 99 62 45 56 33 71 111 114 32 78 65 40 513 11 13
"639" 1721 307 1782 1803 3056 4215 2719 3665 2953 1620 1735 1216 1159 3098 1454 1805 671 788 1179 809
"7799" 3697 5943 7845 5022 3553 11442 5273 8209 8635 4296 5530 7812 6746 6772 8155 8558 3690 11185 5995 5273
"11108" 2924 4867 5350 3676 4917 4902 3016 4470 3876 4985 4181 3865 4463 4287 5588 6199 5165 5649 5289 6780
"11107" 117 37 121 296 159 299 296 426 293 186 295 97 168 213 278 306 151 282 147 518
"93166" 246 25 154 183 50 123 323 303 422 186 124 6724 102 279 185 350 82 153 83 138
"11105" 32 29 55 37 47 44 45 40 56 60 49 53 95 50 82 75 38 61 84 63
"56978" 76 11 86 171 75 305 204 247 167 77 208 139 99 169 174 139 68 85 84 58
"5052" 26805 20397 62763 33996 50863 46541 46473 29500 26613 71701 48061 21839 49890 28067 30687 23210 55711 29860 93520 43980
"7001" 17322 14144 45700 29912 16729 12660 24412 6591 25583 19473 15808 25869 19655 10406 20958 21208 26111 17814 20599 8503
"10935" 12002 5076 30598 11249 9965 13301 11161 16327 19020 20627 12786 19767 10313 13347 14628 32396 18434 17564 18199 18763
"10549" 3837 5140 9365 8702 10406 4993 10104 5392 4496 5103 6506 4885 7055 7783 3078 6646 5779 4763 15168 9649
"25824" 8107 5670 8537 21742 8301 8257 15702 9169 11686 19139 8746 8883 11695 9918 22070 16764 14888 4416 10933 7822
"9588" 12998 12150 22066 17258 19108 24123 25097 13347 14508 18288 30741 17861 22583 14205 20104 31553 14587 45286 46698 37131
"10113" 3610 4954 4609 11998 8128 5692 4740 4089 6002 5646 5060 5387 6695 5222 6293 8455 5792 6795 6544 4939
"27166" 6550 4172 9989 7831 16234 7526 11355 6085 8878 10985 7858 6479 9564 6726 15193 12728 8472 7168 16223 9476
"153768" 323 247 407 511 555 461 404 806 374 437 393 536 440 528 458 316 542 751 411 726
"5549" 822 16687 6322 3939 914 5155 13567 16083 7580 2039 8627 13556 2099 391 4688 12257 3138 1249 1186 500
"9581" 4268 7017 8131 10710 4682 12675 5850 9100 9680 5784 6255 10059 11634 12552 14429 20290 7349 26537 8129 15070
"5550" 2097 6538 6840 2266 4023 3805 2958 3808 2892 3800 2659 2458 2939 4198 4535 3847 3146 6103 3042 2577
"57580" 5799 1269 15219 8968 5984 22776 18486 6936 29647 42443 8700 19752 11784 8396 15635 26379 61321 32675 38243 52707
"80243" 119 111 1110 204 186 1192 349 637 1543 244 456 371 511 288 470 495 180 808 122 257
"5551" 133 67 325 162 3160 2190 274 265 249 85 756 592 392 99 697 138 99 102 92 24
"5553" 189 226 131 160 131 141 167 181 116 121 205 79 268 139 190 74 23 94 548 166
"10216" 140 30 339 121 134 646 71 54 302 115 1153 1631 1054 67 812 1048 27 462 133 339
"5554" 133 2867 489 277 316 374 372 202 303 390 331 260 296 236 260 285 371 323 372 334
"5555" 14 93 34 19 23 33 55 15 31 46 30 34 31 29 15 22 13 30 25 25
"144165" 2707 1866 2974 2718 2492 2835 5257 3795 4811 2049 1431 2282 2807 2721 1416 3808 693 1862 3287 2496
"166336" 1627 385 2930 1594 1277 3513 2336 4761 7705 2730 3766 6630 2217 5327 2342 12202 801 1904 2490 5104
"4007" 370 414 485 865 863 569 549 607 688 946 366 647 604 957 1401 981 1093 1330 1424 424
"29964" 944 1982 3289 1498 2788 2098 1705 1964 3300 3697 2770 3068 3869 2441 5788 4065 2219 2692 2092 2941
"5557" 1040 838 2226 977 585 944 477 900 340 992 1043 798 737 686 1276 1275 943 1604 3546 2603
"5558" 1423 1872 2844 1800 3564 1235 1113 1676 1665 1741 1816 1573 714 1633 1798 1924 1019 2671 2402 2006
"145270" 149 537 585 475 122 428 171 33 66 299 399 301 241 28 116 162 50 46 1535 575
"100169750" 72 71 73 41 76 137 68 51 100 92 143 100 141 86 107 144 88 118 161 163
"5562" 3342 3452 6828 3704 3731 4864 4617 5303 7550 1971 3336 3594 2100 4537 4752 3913 1340 6595 4646 4317
"5563" 1346 1141 905 3790 1182 775 1622 1820 1705 156 1038 5080 356 2363 158 36 602 3524 1814 211
"5564" 1009 2336 2141 1813 4173 2016 2211 2894 2819 3941 4428 4070 5486 3570 3622 4955 3953 4902 3240 4510
"5565" 880 1043 2536 6548 1322 2556 1364 3021 2841 1295 1661 1952 2002 4143 2180 5618 1356 7441 2831 5268
"5566" 6060 10233 14021 11831 13707 11635 12552 7677 15056 10415 8040 10885 11685 8292 16291 14716 9100 13015 14166 6129
"5567" 50543 1716 5802 2970 3751 9730 4925 4720 5233 1795 4135 2669 3045 65618 5472 2117 1646 5732 2208 1484
"5571" 4610 4053 8533 8692 4041 7777 4642 6141 6189 8046 6907 6134 7556 7443 7546 11639 7328 9303 10716 10018
