"TCGA-A1-A0SB" "TCGA-A1-A0SD" "TCGA-A1-A0SE" "TCGA-A1-A0SF" "TCGA-A1-A0SG" "TCGA-A1-A0SH"
"189" 9 0 0 4 7 1
"25909" 5895 9601 19994 7489 5282 8442
"10768" 8585 11783 42044 12222 17536 29637
"23382" 3211 5744 5161 2274 1705 5338
"191" 15526 13975 28961 28690 11147 30846
"27245" 8753 2102 7140 2011 3583 5824
"54806" 786 2001 1560 936 832 1587
"113146" 566 4685 6572 1808 3184 17894
"79026" 135151 185314 254160 101581 193548 423467
"57491" 165 108 125 171 124 514
"196" 7431 11276 15174 5730 4203 11108
"10598" 4270 7891 11850 5880 4290 11600
"130872" 1094 1321 946 525 1007 918
"57379" 100 95 130 91 86 123
"64853" 3892 10141 21512 7903 5509 17357
"83543" 9997 2603 4958 2683 2704 1163
"199" 393 1275 1500 1108 963 2243
"9131" 1897 3731 6346 4262 5721 7583
"84883" 494 1189 1105 1389 776 1805
"150209" 57 45 436 171 50 149
"51390" 1754 5303 3800 1799 2128 4265
"55057" 16 25 97 104 27 97
"202" 6489 14172 6690 9863 5876 12066
"9447" 2 63 25 103 172 30
"9255" 3012 5779 7290 3362 4088 5264
"7965" 1054 1482 2949 1762 1756 1843
"23746" 140 132 162 70 124 142
"9049" 2210 3278 4171 2334 2178 3630
"326" 16 15 27 20 22 24
"55966" 61 76 110 24 20 174
"203" 744 2032 2692 872 3172 3077
"204" 5861 7427 17296 10097 11113 12045
"50808" 4217 4165 9733 2683 3737 8719
"26289" 101 956 4182 578 130 2808
"122481" 50 220 600 267 459 77
"11216" 1554 2442 2059 830 2344 3019
"11215" 6766 6146 10633 3423 7486 10862
"9590" 1230 5614 4826 2862 3173 12804
"11214" 12105 19421 23431 9792 9635 25980
"158798" 2 8 13 43 20 2
"8165" 7121 6929 13052 5056 4959 9133
"11217" 7454 4631 3988 2044 2156 4409
"10566" 119 104 207 65 94 165
"9495" 768 987 1331 348 378 951
"9472" 924 326 541 263 147 381
"9465" 914 863 846 620 246 519
"26993" 2670 2501 4709 3008 3288 2693
"10270" 2537 2342 3765 2420 2172 2796
"10142" 10080 36456 28388 6934 12028 12861
"79647" 3914 3350 6373 4011 3457 5063
"55122" 2578 3207 2853 2188 1521 2924
"254268" 8 5 16 11 6 39
"80709" 1059 1888 4087 3162 2925 2967
"10327" 5196 5551 17848 13007 10754 14146
"57016" 48 144 62 32 61 119
"441282" 80 269 183 129 89 226
"231" 3049 2149 3341 1762 2071 5725
"1645" 353 482 145 273 107 110
"1646" 288 678 126 322 159 160
"8644" 542 2010 1224 2091 383 1052
"1109" 0 1 0 3 1 0
"6718" 61 53 59 30 56 118
"83592" 240 75 253 69 27 127
"8574" 2025 2724 10737 5628 6792 4306
"22977" 64 556 6907 4460 12405 53
"246181" 32 81 567 383 969 16
"84335" 2350 3495 6839 4827 3155 6169
"207" 9583 16300 21970 13566 18926 27665
"208" 6099 10645 17419 10309 9965 15907
"10000" 259 3169 12366 1336 3019 6920
"64400" 1846 2615 2764 1452 1800 3898
"210" 4031 7475 8925 3386 10670 13565
"211" 2772 4638 5967 3022 3247 2972
"212" 5 1 16 0 0 2
"213" 46 2086 63 20 50 692
"214" 2805 34002 31853 3784 23550 81033
"126133" 1633 1589 4432 4100 2973 4768
"5832" 7563 12811 20959 10946 9374 22161
"216" 7603 1969 2473 2928 893 6161
"8854" 58 323 373 321 91 185
"220" 14459 1394 2312 985 2213 4472
"219" 2265 5055 4121 2469 3484 13129
"10840" 377 308 381 270 88 147
"160428" 650 1868 3185 739 1302 11478
"217" 433 6305 6638 5938 17242 22055
"218" 77 78 140 64 63 62
"224" 5717 7194 13537 4086 24340 9406
"221" 519 966 2223 640 1613 1969
"222" 1753 12386 2728 3785 1034 1978
"8659" 1010 2370 4408 3305 5501 3841
"7915" 2110 3244 2321 816 2544 921
"4329" 1646 2261 4026 2189 2788 3947
"501" 9610 5473 12031 6465 5837 12136
"64577" 85 64 54 45 116 133
"223" 28155 18741 31571 10329 6504 14423
"226" 29675 70678 145559 88133 312893 93708
"229" 14 15 25 10 11 19
"230" 888 833 1086 582 260 890
"144245" 2743 3407 3261 1848 1723 2423
"84920" 533 611 775 277 260 604
"440138" 211 283 250 202 264 354
"79087" 1341 1590 4510 2193 1583 4476
"79868" 1319 2248 2236 1528 1074 2145
"199857" 579 701 1225 526 714 1263
"644974" 26 37 75 25 21 18
"200810" 107 493 27 343 22 14
"56052" 2003 3079 6831 3096 6412 5211
"85365" 2429 4394 6327 2222 2841 6287
"10195" 1735 2788 4446 2342 2507 7997
"29880" 1584 2620 3842 2220 2742 4023
"29929" 1056 1441 2597 2820 1277 3014
"79053" 1649 2929 9392 3167 6695 4820
"79796" 2410 1870 2590 1936 2066 2324
"8846" 732 1547 1517 1242 559 1291
"121642" 1528 929 1350 1012 704 1164
"221120" 1216 1691 2760 1405 1339 2344
"54784" 852 784 1567 1295 895 1455
"54890" 5591 6550 10738 5576 9094 10927
"84964" 187 308 542 370 367 382
"84266" 1775 1048 4446 3128 2002 3512
"91801" 882 1165 1008 657 742 1409
"238" 28 10 25 6 3 22
"200420" 44 85 76 55 19 18
"7840" 3260 5395 8496 2889 4413 4748
"242" 16 2 11 5 1 7
"245" 97 47 46 16 16 32
"239" 73 51 62 49 55 59
