"TCGA-A1-A0SB" "TCGA-A1-A0SD" "TCGA-A1-A0SE" "TCGA-A1-A0SF" "TCGA-A1-A0SG" "TCGA-A1-A0SH"
"56922" 2324 2210 1719 889 2879 3232
"64087" 6778 39708 31438 17119 68483 34923
"401250" 2 6 59 761 67 6
"4163" 2641 3426 9053 1539 3302 4570
"84693" 389 738 1188 521 951 791
"23101" 244 201 292 110 137 213
"23263" 3244 4107 8959 4507 3155 2109
"4168" 16 3 0 10 2 4
"90411" 11959 14979 17010 5865 7269 19022
"2847" 0 91 200 21 37 86
"84539" 11 11 14 5 12 13
"4170" 53180 88401 50558 23676 23913 42802
"55388" 451 458 2053 408 270 338
"4171" 3548 3065 7622 3293 2728 4276
"8888" 7853 8587 13283 6153 9349 9645
"4172" 8343 7241 19743 7201 8256 11136
"4173" 4658 4918 14555 4727 8898 6826
"4174" 3913 1924 5981 3085 2339 4214
"4175" 4017 4295 9241 3778 3157 4951
"4176" 10862 4710 13632 7068 4039 5981
"84515" 928 1563 1542 690 704 1184
"254394" 279 559 403 228 170 598
"57192" 961 1319 2432 1303 1273 2312
"255231" 21 173 249 117 122 88
"55283" 129 823 283 106 64 189
"79648" 1857 2625 3728 1448 1145 2666
"10445" 3189 3091 5035 3976 3434 4455
"79772" 199 1141 1007 518 683 674
"55784" 1212 399 944 288 207 1058
"28985" 2885 3671 5071 3328 3484 6038
"9656" 5910 4416 8567 2096 2243 5245
"29969" 1990 3634 5120 2011 2919 5033
"4188" 2141 2901 4831 265 361 1994
"266727" 101 1005 1271 280 1013 1559
"161357" 9 10 6 7 10 16
"130752" 172 139 299 197 195 115
"4190" 7048 9490 15823 6730 7597 10286
"4191" 11494 13429 22816 14675 14154 18715
"4192" 16421 9634 23910 5291 8786 17754
"56890" 864 1071 1763 1234 974 1168
"4193" 8633 10754 14956 6806 20767 14019
"4194" 3856 5121 6104 3433 2527 5118
"23195" 9547 4994 6266 2476 2706 6451
"145553" 321 466 883 482 486 701
"259283" 38 57 63 43 55 49
"4199" 160 536 212 212 156 817
"4200" 2074 2190 3409 1748 833 3438
"10873" 123 698 1180 285 188 1008
"4201" 2221 4191 8187 4253 4109 6175
"64769" 3974 7157 12394 9953 9198 8436
"2122" 2947 2105 1584 629 880 1544
"4204" 6138 6533 9122 4906 4835 10685
"51102" 1661 1096 2664 1229 1566 2061
"84246" 908 1497 1987 948 754 1773
"400569" 557 676 910 692 1143 989
"116931" 147 442 186 48 390 86
"9968" 5273 6919 11644 4574 4288 7953
"23389" 22498 34983 22095 7592 15525 20229
"9969" 9977 14102 13169 3947 6224 19353
"9282" 5129 6587 8973 3780 4380 7189
"51586" 4322 4509 10337 4381 5627 9559
"10025" 3253 2568 8674 5858 3791 7789
"9440" 2975 2622 3014 1906 1821 2798
"54797" 915 1156 2214 743 1153 1302
"219541" 737 671 1556 1043 919 1368
"5469" 7508 7405 12113 3984 6131 12570
"9477" 1946 2440 4513 1652 2485 3004
"9412" 2213 2539 3731 1456 1905 3302
"6837" 2487 3362 6191 2517 2817 4460
"9439" 4297 6002 4678 3572 1212 7814
"9862" 5641 5451 15355 5664 6494 10671
"81857" 2107 3176 7125 5332 4792 4259
"9441" 947 1194 1585 1570 972 1273
"9442" 2143 1553 2476 1072 1255 1755
"80306" 2658 3181 5067 2122 2214 3322
"55588" 3948 7375 10936 6660 6690 9217
"90390" 495 661 959 377 414 583
"51003" 461 493 674 566 726 651
"29079" 3218 3620 5388 2974 4727 5754
"10001" 1179 1941 2663 1581 1400 1797
"9443" 585 1032 1103 608 762 694
"112950" 1494 2158 4231 2610 2642 3907
"55090" 1579 1440 1679 1346 1108 1423
"4205" 6920 8410 7689 5362 4685 8540
"100271849" 100 161 161 71 135 110
"4208" 4933 3557 3701 1118 1851 5357
"4209" 4234 11568 18736 5015 6468 11128
"4210" 103 182 217 115 148 196
"55384" 716 298 407 211 186 941
"84466" 1072 366 726 68 343 1025
"84465" 18 56 11 6 7 12
"1953" 1837 1986 3501 2712 3876 5192
"1954" 6572 4281 10335 3601 2386 9340
"1955" 3268 10281 20295 4530 4645 24396
"150365" 97 203 352 336 157 209
"644890" 9 8 9 7 14 7
"4211" 393 791 1063 1399 1625 2005
"4212" 520 697 1330 545 445 2656
"4213" 3284 9048 11180 3680 4838 7611
"56917" 278 2659 4878 809 2541 4723
"9833" 526 939 1739 770 502 655
"7795" 1413 2502 3691 1585 1873 2753
"4221" 3060 2538 4437 3233 3963 5881
"4222" 99 546 848 419 234 34
"4223" 156 659 501 538 204 306
"4224" 0 14 2 2 11 1
"56257" 5269 4222 9923 5616 4836 5807
"56955" 0 36 8 4 4 8
"10461" 822 872 713 590 537 861
"59274" 1068 3107 4121 9346 1564 3018
"23184" 4658 7682 9435 6503 4373 8761
"55897" 205 127 104 545 3194 18
"145873" 38 92 79 536 2428 55
"317751" 71 51 84 44 36 44
"4232" 7963 4524 9130 5419 1650 5506
"23173" 4989 4871 7708 3537 2698 5195
"10988" 7300 7444 11335 9175 4735 8335
"284207" 764 2139 1609 969 1786 2694
"79006" 178 1146 4154 3722 5259 1263
"399818" 1109 1392 1542 935 1027 1843
"149281" 6 21 18 0 7 129
"751071" 213 141 317 312 259 256
"51603" 3179 3790 10289 3843 3317 5269
"57721" 1429 1967 3026 1425 1447 2246
"4234" 1088 1136 2161 2419 1194 1558
"339175" 1571 2321 2955 1191 1665 3288
"55798" 1289 2025 2636 1159 1641 2750
"56339" 2477 2093 4477 1858 1403 2353
"64863" 588 718 1271 446 568 759
"29081" 1501 2107 2948 1630 1475 2257
"131965" 1056 1576 1780 696 1149 1861
"25840" 6440 4133 8806 8433 3365 10450
"196410" 258 18 17 11 10 54
"79828" 1889 2304 4272 2034 2731 2742
"51108" 6579 8510 16810 9163 10895 12510
"4233" 9654 3784 4859 1785 738 3177
"92312" 9224 2099 9083 3801 1211 1670
"84206" 775 306 409 162 158 854
"51320" 7808 5291 7661 2935 2296 5585
"399664" 1782 1369 3789 2854 2263 3897
"4236" 3221 4134 7743 1828 4582 6448
"4237" 5057 4177 9250 3828 4594 27356
"9848" 2362 1022 2317 453 2338 3518
"4238" 4161 7025 8113 2762 3963 5728
"4239" 18912 5692 12244 9047 4866 17987
"8076" 2015 5569 4645 705 3562 26162
"56947" 3694 5113 6821 3565 3835 5563
"4240" 45472 10293 19087 6791 6229 19840
"9258" 737 933 2190 296 510 1670
"4241" 445 407 2133 221 508 3067
"55669" 3860 4587 5514 1825 3008 7399
"9927" 7513 8256 16187 5702 11776 10561
"4242" 150 643 959 674 560 746
"83552" 162 2767 2907 1088 2595 6771
"10227" 2367 3923 8735 4052 3446 5187
"79157" 1594 3412 3399 1694 2468 7127
"64747" 4447 9084 7816 4049 7209 15217
"84879" 318 161 345 928 86 597
"388931" 6 13 18 9 22 11
"113655" 451 1527 1984 1091 4486 1813
"148808" 1848 271 838 171 122 191
"84975" 1558 3494 5053 2856 3587 4970
"162387" 231 126 122 110 16 31
"54842" 4207 9385 12589 2945 3641 6934
"84179" 170 354 741 410 4696 775
"256471" 1003 2055 1433 773 1206 1155
"84804" 652 652 970 351 443 898
"8972" 19 988 268 20 15 361
"4245" 7713 9945 14342 7306 7990 20837
"4247" 1898 3748 5105 2557 2349 6220
"4248" 457 377 532 147 353 297
"11320" 8775 26001 8827 3917 5414 13652
"11282" 3147 7040 12295 4587 4853 9191
"25834" 2 0 824 0 1 2
"146664" 15 399 69 32 34 226
"4249" 2102 1420 2229 317 949 2211
"23269" 5098 5441 8584 3073 3904 6987
"84815" 12 6 49 22 249 54
"84849" 80 81 128 46 65 56
"85001" 89 110 292 146 117 183
"149047" 90 78 83 39 58 94
"84789" 27 18 17 2 3 8
"401884" 1133 1078 1336 401 331 681
"389538" 268 368 323 519 399 431
"10724" 13801 24862 26388 13150 12612 17120
"11343" 1504 8273 5761 7112 2141 9588
"4255" 2126 3079 3452 2909 3196 2641
"4256" 189252 65968 104792 57423 84519 73067
"23295" 6387 6523 15028 5555 11526 14020
"4257" 8233 3640 33638 3620 2700 16718
"4258" 862 2560 3574 1754 1940 2770
"4259" 3003 10712 13396 3506 3764 9035
"117153" 3 16 4 0 2 11
"375056" 7194 9370 21662 11894 8803 23620
"440823" 63 1135 479 294 869 1800
"8190" 6447 363 750 482 47 479
"57534" 14509 8214 14646 6501 6722 17045
"142678" 1109 764 2140 1042 1464 1547
"64780" 863 3239 2021 1028 1328 2169
"9645" 1297 10646 17280 6492 9298 48956
"57553" 19106 2754 6188 2703 2473 3995
"84953" 56 536 484 525 240 553
"85377" 8325 2384 5372 1186 2372 3414
"79778" 249 1211 1569 1615 1575 1346
"100507436" 737 1554 2199 611 915 1661
"4277" 45 615 1087 355 1055 661
"58526" 433 1651 5984 3108 692 2512
"4281" 5196 883 1338 760 335 1161
"11043" 2809 3742 3645 1722 2169 2944
"90007" 5563 8726 16130 8977 6515 10401
"57708" 3067 4741 6621 3517 3470 7369
"54531" 1683 1112 2479 1545 1222 2074
"166968" 2424 4357 3977 1665 1252 3489
"57409" 1453 1427 3510 2054 2290 4077
"4282" 6987 7264 37202 19045 16264 26658
"60672" 855 761 1980 1375 1092 1377
"100073347" 82 6 4 8 5 2
"84864" 3107 2453 3224 4844 3997 3459
"50488" 5889 5973 9074 3462 8075 8924
"9562" 1380 3496 2815 1428 1595 3731
"54468" 2205 2948 5094 1898 2027 3764
"55586" 4 10 2 0 2 1
"4285" 1574 1473 3319 2841 3815 3638
"145282" 4277 6218 6229 3317 3988 3845
"4284" 16 0 1 3 6 2
"114614" 15 70 32 62 46 63
"407975" 129 64 65 43 23 29
"79003" 1670 1790 1753 1224 1295 2073
"129531" 526 858 1013 730 595 835
"4286" 182 1301 1585 855 1015 3813
"83881" 15 2 0 0 0 3
"4288" 4859 6444 12139 4019 2917 5459
"8195" 2017 4911 4756 2587 2431 3755
"57591" 6437 3472 7635 3857 3477 7757
"57496" 4855 13367 22246 7516 17378 13996
"4289" 6578 8322 11465 4888 5817 12488
"8569" 1283 1440 2781 1637 1756 2718
"2872" 7332 8996 27443 13692 15051 15846
"23608" 9378 14576 20946 12071 13941 16534
"23609" 2412 2795 4516 1788 2126 3504
"7681" 11 167 51 7 10 20
"54903" 1436 1128 1950 1077 1282 1603
"283078" 33 173 84 65 15237 92
"2315" 102 131 146 66 89 102
"23209" 7595 26 114 40 11 57
"9761" 18437 18879 29425 13785 16867 35315
"4291" 1094 2613 1804 1978 2392 2274
"8079" 9650 13215 25307 14684 14115 21978
"4292" 2789 2932 5576 1824 3149 4362
"27030" 2263 2981 3093 1408 1437 2289
"197259" 146 794 695 515 440 683
"8028" 2097 3850 4595 1757 1810 2379
"10962" 806 859 1169 583 459 1073
"4298" 6111 4827 11885 7073 6252 12068
"4300" 1816 1707 2655 945 956 1889
"4301" 13329 14243 12388 5972 15330 7415
"4302" 11011 13176 27605 10316 9517 16305
"79083" 1029 40032 36856 23912 30188 11885
"64223" 2095 2515 6751 3716 5770 4330
"51085" 221 351 228 143 160 127
"22877" 9325 3404 3690 1018 2100 5620
"6945" 2006 4473 4426 2524 2844 5467
"23417" 663 605 882 562 437 862
"166785" 850 1652 2005 902 1113 2017
"326625" 1651 2041 2294 1195 1900 3267
"25974" 888 476 1783 660 731 933
"27249" 5899 7147 10994 4766 6301 7562
"221938" 58 64 72 39 57 63
"23531" 480 1587 946 604 460 2822
"79258" 134 128 514 404 411 195
"4311" 520 2432 4640 1768 1817 3166
"93380" 3629 2894 4034 2404 1687 7352
"4319" 8 5427 539 53 668 330
"4320" 692 27243 39701 4807 49036 81049
"4321" 0 263 54 6 17 64
"4322" 8 4080 1278 72 3690 8278
"4323" 13144 37894 65711 10306 42521 175481
"4324" 1286 1618 4026 2449 6653 1757
"4325" 2095 946 1728 382 581 4080
"4326" 8 243 358 238 797 567
"4327" 994 1159 2306 1284 1087 4050
"4312" 4 925 202 8 297 72
"9313" 6 10 12 2 0 2
"118856" 4 4 12 5 10 10
"8511" 19 94 220 116 28 396
"8510" 81 284 538 419 149 1288
"10893" 921 845 1418 912 1294 1400
"64386" 58 173 205 411 2413 64
"64066" 15 14 42 24 27 34
"79148" 54 672 430 344 350 1307
"4313" 20408 34922 79776 23649 44452 252478
"4314" 134 3247 6349 1550 552 917
"4316" 3268 5605 4328 813 1845 3321
"4317" 0 11 2 0 10 6
"4318" 111 2540 700 990 1328 5642
"22915" 163 869 1232 2177 429 291
"79812" 762 5315 6960 3402 2044 3443
"64210" 5304 6008 7511 3868 4438 7785
"4330" 174 1349 1996 966 2018 8511
"4331" 1021 1830 2308 919 896 1104
"84057" 241 192 243 141 64 203
"4332" 283 1419 526 304 588 1224
"55329" 433 381 1002 352 306 320
"4335" 2130 2091 3958 1907 2190 2858
"3110" 26 27 6 38 17 2
"64112" 2539 5618 6746 3905 3864 3798
"81532" 1382 1776 2720 1839 1709 2319
"4336" 61 99 57 30 30 59
"55034" 358 788 2207 1106 525 1000
"4337" 284 2035 1734 1104 836 1615
"4338" 1748 3311 3142 2199 2124 3922
"27304" 927 1712 1946 1242 967 1692
"80168" 11 67 83 44 7 234
"346606" 18 22 26 13 16 19
"7841" 3722 4818 7424 2743 3919 7919
"4340" 342 313 437 214 233 313
"84315" 483 592 1074 379 727 1070
"22879" 2331 2108 3092 998 1218 3104
"23041" 4913 6524 7654 2822 3865 7687
"22880" 3915 3106 8757 4045 4046 6699
"23515" 3535 4325 4591 2282 2956 5141
"79710" 4517 6747 9540 5404 5292 9116
"10933" 18789 29538 41221 19315 22030 46142
"9643" 11949 48245 39856 19353 21523 37121
"10934" 10 22 20 8 14 25
"79906" 321 248 915 416 789 255
"729967" 601 1070 1638 1102 1218 1032
"283385" 38 114 154 97 78 207
"118812" 942 776 1236 761 769 838
"254956" 9 6 11 44 30 2
"56180" 875 1241 1314 816 679 2465
"158747" 806 1661 1406 746 707 1736
"64598" 765 1190 2616 1599 977 2198
"54456" 61 110 76 23 12 124
"4343" 2050 4872 7280 3727 3441 5871
"26002" 3539 1469 1222 1623 722 1811
"9526" 2355 3865 4404 3270 7232 3655
"8777" 5357 3966 7223 2325 4164 4487
"219972" 1071 2980 2253 1461 1872 4864
"4350" 1653 1934 5955 3114 4552 4712
"10199" 3048 4008 5299 2975 3720 3598
"10200" 1394 978 1138 1175 1655 1204
"54737" 3545 4697 7548 2392 2978 6370
"10198" 728 1263 694 309 645 1044
"4351" 1615 2715 4472 1850 2587 3807
"4352" 230 115 240 76 91 107
"84954" 1027 672 3030 2427 1432 2213
"4353" 30 6 16 8 4 14
"4354" 523 1177 1244 773 787 3101
"4355" 295 487 6444 839 415 877
"4356" 139 257 400 372 245 555
"58538" 195 267 313 192 203 350
"64398" 3274 3220 5275 2081 4633 4452
"51678" 275 160 182 92 56 339
"143098" 838 6056 10218 3451 6182 4865
"65258" 2465 2719 4042 2389 2425 5370
"758" 31 8 8 6 3 7
"744" 2852 363 419 360 300 507
"23164" 11804 7050 9292 4074 7150 12446
"4357" 3077 1778 4753 2338 2212 3625
"84769" 684 1166 1469 1328 1021 1765
"255027" 444 976 2933 1031 2500 954
"4358" 1552 3569 5281 2690 3494 6387
"9019" 36783 20881 41008 14050 9607 31833
"10205" 6193 2557 1705 1283 3512 3384
"196264" 343 237 125 113 240 256
"4359" 31 35 29 10 38 27
"3140" 504 1574 2130 380 635 2755
"112609" 233 170 419 200 17 223
"56246" 55 96 72 80 85 45
"22808" 3711 2598 3131 944 1479 3331
"4360" 427 699 715 602 287 717
"9902" 10937 11433 25847 7184 12387 79176
"4361" 3024 1853 2769 1357 1431 2762
"55686" 447 5038 8307 3966 4033 6666
"114932" 4081 10204 11274 7179 7504 8866
"93621" 17989 35936 44561 24831 30498 56669
"116534" 11 7 17 8 6 19
"116535" 77 487 732 382 229 1789
"117194" 3 5 11 11 1 13
"117195" 91 136 204 55 32 75
"84245" 1728 1420 4251 2764 1639 1452
"79922" 246 467 762 503 466 712
"83876" 271 345 400 187 266 413
"124995" 2709 3401 6280 2898 3696 4592
"65003" 2226 3361 4361 2198 1327 2420
"6182" 1217 1899 2765 1725 1488 3258
"28998" 1153 3344 4578 2507 3986 3953
"64928" 1272 3053 4958 2580 1540 3120
"29088" 2391 2644 5004 3893 5024 2838
"54948" 1532 1812 2755 2243 2032 3059
"63875" 1886 4795 7322 3456 3511 4517
"29074" 1812 3178 2857 2597 3130 2993
"9801" 4274 6488 9828 3842 5337 7677
"65008" 1096 1294 1970 1283 1072 1278
"55052" 2796 3517 6793 4146 5089 4278
"219927" 1510 2449 5481 2711 1477 2133
"29093" 1055 1992 2386 1190 1588 1164
"6150" 1734 2344 3448 1680 1290 2230
"79590" 1642 9652 14899 5797 4647 4722
"51264" 1154 2654 3622 2305 2618 3586
"10573" 2055 2592 6121 2853 5636 4798
"51069" 1307 1326 2380 1485 1732 1805
"51263" 3602 3875 5682 2557 2612 4340
"64983" 1840 3308 3576 2805 2450 3064
"9553" 1006 2536 3057 1421 1576 2681
"64981" 862 1866 3048 2306 1993 2508
"51318" 2142 4727 5890 2754 3377 5135
"64979" 1065 1266 2129 1591 1095 1896
"51253" 4446 3926 10228 6807 4674 6511
"64978" 1326 1564 2858 1742 2227 2737
"54148" 1084 1622 1752 1015 1334 1523
"11222" 6091 8441 12641 6876 6812 12259
"64976" 1282 1604 3764 2234 2449 2873
"64975" 519 2138 3825 1951 1744 2274
"359821" 72 153 109 110 84 196
"28977" 2038 3713 5733 1861 3335 3147
"84545" 2185 4569 6203 4791 3737 5284
"65080" 1692 2602 4098 2053 2231 3225
"84311" 4429 3444 6171 3080 3480 5597
"26589" 836 1946 2022 1962 816 1372
"57129" 1531 2822 3580 2123 2402 4076
"51642" 1092 2064 1498 1111 1429 1727
"740" 3499 6843 6831 4650 9002 7258
"51073" 2137 1605 4695 2928 2056 3858
"54534" 1234 1878 2123 966 1187 2071
"51258" 3633 5741 11495 7184 6900 8671
"122704" 1123 1694 2461 1469 1794 1882
"116540" 364 871 1462 685 839 1131
"116541" 1150 856 1937 1875 1585 2190
"128308" 929 1564 4161 2510 1908 2521
"65005" 3078 7253 8188 4819 2916 3798
"55173" 2454 5088 6936 2418 3832 5408
"64963" 1250 2679 2941 3331 2086 2558
"6183" 1029 1456 2822 2587 1583 2760
"63931" 885 1576 3723 1471 1456 1808
"64960" 2268 3216 6397 5939 4380 5337
"51021" 5321 10528 12714 8948 8262 11908
"51373" 752 1250 1887 1412 1049 1262
"55168" 1658 3067 3191 2329 2206 2833
"28973" 3537 5271 10130 3713 3992 5855
"51023" 762 1104 1390 968 938 1093
"54460" 2396 5948 10054 4189 3410 3428
"56945" 1335 1995 2639 1326 1617 2610
"51649" 1601 3195 4064 2544 2997 4303
"64951" 2142 2540 4576 3192 2112 3647
"64432" 2897 2286 3799 1664 1815 2616
"64949" 2162 3312 5089 3833 3627 3017
"23107" 6446 7340 10551 4294 5192 7513
"28957" 733 1728 1805 964 2163 1862
"51116" 2733 3020 4942 3146 2410 3599
"10884" 1245 16980 2950 1624 2340 2075
"10240" 1369 1048 2002 1508 1497 1476
"51650" 1977 2883 3762 2242 2047 3448
"65993" 1507 3703 9419 6080 8421 5661
"60488" 3838 6002 8521 7445 4508 6607
"92259" 836 2033 2501 1162 1171 1720
"64969" 1796 2637 3668 1987 1852 2245
"64968" 1398 2841 5024 2944 3864 6997
"51081" 2458 4288 6332 2848 4191 8660
"64965" 1877 2478 3294 1563 1451 1867
"92399" 2239 2270 3171 1439 1426 2254
"729633" 11 21 29 18 21 13
"57380" 1729 2908 3794 1980 3102 3858
"51154" 3528 2794 6163 4327 2996 3237
"10335" 720 2813 2867 1305 1048 6799
"341116" 107 124 133 78 88 108
"84689" 22 244 223 173 601 452
"219995" 9 120 38 2607 203 6
"931" 2 170 101 163 2381 35
"2206" 72 371 880 403 706 1724
"51338" 138 674 423 564 331 598
"64231" 704 2690 2280 2814 1983 4018
"58475" 511 1938 2053 2235 9014 8814
"9242" 12 552 628 263 321 1896
"4436" 3644 3743 6070 3127 3046 3262
"4437" 2823 2695 3325 1694 1736 3600
"4438" 22 14 6 15 8 11
"4439" 945 883 1262 764 582 747
"2956" 6102 8777 13487 4891 4686 8318
"4440" 845 875 186 119 586 174
"124540" 2100 3151 4124 1278 2248 2818
"339287" 6602 11200 14749 6631 5722 13414
"55167" 3436 5121 6215 2921 2432 6386
"10943" 2402 2054 2750 1716 1596 3557
"401827" 0 1 0 3 4 0
"10232" 499 31 20 24 22 639
"4477" 5 908 333 1010 51 125
"692094" 454 548 820 194 237 639
"4478" 10757 30870 39880 15791 16635 58672
"4481" 628 3551 2133 793 1931 7655
"4482" 678 635 924 584 355 1516
"22921" 937 3161 5967 2091 2564 3108
"253827" 3336 6553 7642 2882 3280 16350
"11209" 661 125 286 145 172 57
"4486" 333 387 3050 417 2132 1907
"4485" 268 190 382 147 283 147
"2660" 38 22 23 48 10 14
"55154" 2463 3773 6614 3305 1944 2897
"100129405" 620 929 1262 611 421 518
"4487" 96 192 296 53 96 487
"55545" 0 4 12 19 29 1
"4488" 113 1384 1714 2457 5064 1070
"4489" 989 489 558 1071 411 406
"326343" 7 45 22 38 0 13
"4493" 3605 978 2506 2102 1390 2775
"4494" 238 412 543 491 119 471
"4495" 117 136 482 156 164 248
"4496" 2 0 9 1 30 4
"644314" 34 41 52 36 29 53
"4500" 120 95 66 41 30 127
"4499" 270 116 187 171 59 133
"4501" 3176 1684 7429 5138 669 1942
"4502" 11560 4513 6764 6748 3147 5316
"4504" 2 4 0 1 0 0
"9112" 3774 3302 6453 3376 3675 5274
"9219" 7040 5411 8966 5757 9349 10141
"57504" 2164 7246 9770 4285 2737 6607
"4507" 3031 6239 4093 1431 1931 3619
"27085" 590 647 809 374 554 450
"23787" 7578 16442 21227 8988 10401 21129
"23788" 4430 7482 13997 6370 8634 10283
"4515" 108 195 263 165 132 559
"92140" 9873 26272 24944 9865 15406 28586
"4520" 2187 2270 4498 2210 2131 3903
"22823" 2156 1843 2992 1198 1347 2414
"123263" 1090 1145 1504 606 764 1277
"9650" 1263 1738 3870 2403 5996 2714
"92170" 1321 2088 2288 2171 1516 2393
"25902" 5979 1083 1180 398 720 2695
"4522" 4903 6079 14844 5918 5903 9210
"441024" 698 691 590 711 713 923
"10797" 6633 3364 7685 6331 4806 4864
"4524" 1971 2152 8087 3896 3610 2660
"64779" 842 653 1316 727 658 1359
"10588" 635 1531 2152 1487 1306 1428
"4528" 2906 3045 4911 2677 3304 3382
"219402" 1687 2378 3323 2661 2912 3425
"9633" 932 2703 12378 3219 1903 1777
"4534" 1131 1627 1764 1017 1206 2436
"54893" 3469 4030 4651 1377 1874 4157
"10903" 513 1304 2916 572 548 2176
"54545" 7955 5229 9795 3497 3361 7919
"64419" 2374 3276 5321 2792 2684 4841
"8776" 4730 3909 4573 2337 3577 9201
"8898" 3243 3275 3581 1735 1855 6536
"8897" 6517 5371 11139 4146 4733 9378
"9110" 5424 5905 7899 3411 4135 11243
"9107" 2883 3474 5252 2418 2834 5873
"9108" 245 1114 1164 295 163 542
"55613" 98 17 112 20 17 43
"66036" 1799 2912 3331 1257 1292 3430
"25821" 1215 1694 1785 1244 1347 1979
"2475" 6949 6188 11567 5175 8904 7418
"55149" 2296 3200 5730 2243 1760 2545
"54516" 1620 2855 2135 1169 1653 2785
"9617" 494 448 634 328 502 497
"4552" 1565 2952 3600 2162 1894 2887
"4548" 5123 6049 9541 4380 3677 13233
"92154" 4209 2851 6527 1697 3666 4718
"9788" 3141 4938 7879 3630 1556 10426
"4547" 21 38 2 0 4 12
"57509" 4647 13590 21622 7198 4749 11562
"23281" 19 54 55 7 2 95
"4580" 1233 3702 6686 3363 2438 3161
"10651" 1684 3448 5236 2391 2388 2396
"345778" 3084 4325 4135 1525 2380 3860
"10071" 0 14 16 18 53 17
"56667" 11 3201 81 20 1 9
"143662" 595 545 576 403 2 200
"94025" 134 1884 232 24 6046 266
"4582" 1241 84010 126250 31389 21565 87397
"200958" 3240 747 846 264 1013 5673
"394263" 6 14 16 7 20 11
"4583" 0 41 4 31 2 0
"4585" 37 37 74 13 16 42
"727897" 380 3752 304 2022 139 504
"4588" 4 235 191 3822 13742 8
"4589" 222 18 10 25 0 193
"118430" 81 61199 11401 336 505 5140
"79594" 2881 2760 5344 1746 3444 4554
"139221" 10 1148 8789 487 1377 2638
"84939" 3352 2210 5239 2911 3595 4973
"347273" 33 67 47 27 25 69
"80198" 1519 1782 2928 1663 1758 2308
"389125" 56 221 185 68 69 67
"4595" 461 288 1034 648 593 648
"4594" 3473 5600 5879 2776 5106 4674
"4597" 813 832 1919 1010 899 2683
"4598" 876 1187 1625 735 1698 1989
"9961" 1035 14018 23296 8671 13072 26042
"4599" 994 41005 5359 2118 5080 1945
"4600" 1541 6137 1792 1266 1293 1589
"4084" 1640 2271 1567 710 1783 1222
"83463" 425 550 1154 552 760 681
"10608" 6915 6233 11994 6487 5376 12795
"4601" 3960 4411 11900 5813 1273 4322
"25878" 24258 41166 79729 18872 45116 233183
"439921" 8053 14362 10887 3515 5889 15730
"54587" 2228 11431 17200 8299 10055 39013
"255275" 13 0 14 7 18 6
"91663" 23789 21101 22562 16382 10888 36610
"10514" 4979 2794 5555 2989 4046 4428
"4603" 221 696 2564 527 1198 444
"4605" 1191 1601 4359 2190 900 1294
"4604" 395 66 909 327 67 2183
"4606" 2 14 30 8 6 8
"4607" 0 1 1 0 0 2
"4608" 2 11 153 15 16 15
"4602" 2557 3549 10954 7508 9870 5685
"23077" 7297 7523 14188 4705 8007 17458
"84073" 73 74 232 59 97 80
"26292" 1382 2377 7094 4324 4564 5244
"10408" 2 9 1 2 0 2
"4613" 15 349 59 74 53 65
"80177" 137 1419 1309 582 433 647
"4609" 22363 9056 13659 5164 1486 3851
"4615" 3441 6241 8165 3095 3991 6516
"50804" 3901 3479 4335 491 1164 1706
"150678" 1115 3578 7561 3038 2971 2302
"26579" 62 45 1945 59 19 45
"4628" 16710 10702 13572 4156 2568 18978
"4629" 4921 19906 26959 11233 3395 12940
"8735" 2 24 69 11 21 119
"79784" 20260 8270 8511 5678 13346 5687
"22989" 22 10 55 14 6 13
"84176" 0 9 0 2 2 0
"4619" 41 16 23 10 14 46
"4620" 10 11 18 3 4 39
"4621" 525 118 153 110 107 145
"4622" 0 1 23 7 12 43
"4624" 0 0 2 3 4 1
"57644" 129 129 211 166 136 183
"4625" 0 4 3 2 0 0
"4626" 0 5 16 2 6 39
"4627" 127765 113674 228503 92458 102503 307551
"93408" 24 26 29 18 22 26
"10627" 16856 25769 37488 21112 21769 38862
"103910" 20400 29642 62426 32796 39835 54817
"4633" 2 2 16 6 4 8
"4634" 0 11 61 13 21 203
"4635" 3 13 14 11 7 23
"4636" 428 677 846 939 786 516
"140465" 2618 1587 3110 1549 1881 2335
"4637" 34631 61062 107712 56223 49125 92170
"58498" 0 571 14 38 16 153
"10398" 20291 26104 26668 12421 16090 40480
"29116" 1417 13786 7786 2251 2844 4935
"85366" 4 21 31 12 8 10
"91807" 238 310 384 243 460 345
"340156" 347 72 137 89 49 139
"4638" 15488 34307 27129 11896 7834 24382
"29895" 12 0 13 12 8 7
"55892" 1783 1953 2940 1304 1170 3517
"4651" 16240 5363 6263 2559 3440 10652
"51168" 60 92 205 123 80 110
"80022" 2170 1874 1543 1147 1483 1396
"23026" 358 91 48 90 621 41
"399687" 4475 6482 8605 4234 5224 12135
"84700" 2 66 72 15 17 38
"80179" 2210 2862 4852 1779 1496 3304
"4640" 8 12 7 5 2 28
"4430" 7630 17062 17171 7923 12041 20574
"4641" 11160 18106 25020 12252 25993 38751
"4642" 6337 12847 17077 6988 9175 32630
"4643" 3872 5605 5629 2877 4252 7480
"4542" 328 918 1068 854 978 2428
"64005" 82 523 481 679 480 400
"283446" 13 37 25 8 3 158
